title,description,city,state,job_site,jobtype,salary
Statistician,Performs data conversions to review calculations and averages to ensure publishable data.Performs data collection and survey processing activities.,Reston,VA,Indeed,Remote,45638
Data Scientist,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,Lexington,KY,Indeed,Remote,71729
Statistician,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…",Anchorage,AK,Indeed,Remote,115576
Data Scientist,"Be a thought leader for data science methods for bioinformatics and genetics.Background in molecular biology, genomics, or similar, combined with experience…",Champaign,IL,Indeed,Remote,110500
Data Scientist,Assist in the design and implementation of enterprise-scale data models and pipelines for remote sensing data.5+ years relevant work experience required.,Champaign,IL,Indeed,Remote,99450
Data Scientist,Collaborate with engineering teams to design and implement software solutions for data science problems.Understand ambiguous business problems and convert them…,Northbrook,IL,Indeed,Remote,108000
Data Analyst ,Compiling and conducting quality control on existing datasets covering a wide range of geological topics and data types.,Olympia,WA,Indeed,Temporarily Remote,58908
Data Engineer,Support cloud migration of data science services.Experiment with and recommend new technologies that simplify or improve our data science technology stack.,Burlington,MA,Indeed,Remote,61913
Data Scientist,"This program provides NO COST, comprehensive training to highly motivated individuals.Upon successful completion of the program, you will receive customized…",Boston,MA,Indeed,Temporarily Remote,39000
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",Northbrook,IL,Indeed,Remote,103000
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",Northbrook,IL,Indeed,Remote,103000
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",Northbrook,IL,Indeed,Remote,103000
Data Analyst ,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,Long Island City,NY,Indeed,Temporarily Remote,97286
Data Analyst ,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,Long Island City,NY,Indeed,Temporarily Remote,97286
Data Analyst,This will help our team gather enough data to teach computers to identify the same traits. Additional special projects may be assigned if time allows.,,NC,Simplyhired,,35000
Statistician,Perform basic data calculations and analysis. Create new automation solutions for business data needs. The position will assist data-driven initiatives whichâ€¦,Cleveland,OH,Simplyhired,,30000
Data Analyst,"At least 1 year of research/data analysis experience. Conduct cluster analyses of internal data to segment customers and leads. SQL, R/Python, Microsoft Office.",,,Simplyhired,Remote,30000
Machine Learning,Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.,,,Simplyhired,Remote,35000
Machine Learning,Present information using data visualization techniques. Undertake preprocessing of structured and unstructured data. Combine models through ensemble modeling.,,,Simplyhired,Remote,35000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,150000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,35000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,9026
Statistician,"If you are a tech savvy individual with a proven background in basketball stats, Performance Analytica wants you to be part of our team.",,,Simplyhired,Remote,24375
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,30000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,31200
Machine Learning,"Have demonstrable hands-on industry experience in data analytics or data science. Have expertise in using Python for data wrangling, exploratory data analysis,â€¦",,,Simplyhired,Remote,35000
Data Engineer,"Experience working with event data in a data lake. A self-service tool that allows data scientists, data engineers, and ML engineers on the Marketing Dataâ€¦",San Francisco,CA,Simplyhired,,35100
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,35622
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,39684
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",Santa Monica,CA,Simplyhired,,39768
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,40000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,45000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,45592
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,46742
