title,description,state,job_site,jobtype
Statistician,Performs data conversions to review calculations and averages to ensure publishable data.Performs data collection and survey processing activities.,VA,Indeed,Remote
Data Scientist,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,KY,Indeed,Remote
Statistician,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…",AK,Indeed,Remote
Data Scientist,"Be a thought leader for data science methods for bioinformatics and genetics.Background in molecular biology, genomics, or similar, combined with experience…",IL,Indeed,Remote
Data Scientist,Assist in the design and implementation of enterprise-scale data models and pipelines for remote sensing data.5+ years relevant work experience required.,IL,Indeed,Remote
Data Scientist,Collaborate with engineering teams to design and implement software solutions for data science problems.Understand ambiguous business problems and convert them…,IL,Indeed,Remote
Data Analyst ,Compiling and conducting quality control on existing datasets covering a wide range of geological topics and data types.,WA,Indeed,Temporarily Remote
Data Engineer,Support cloud migration of data science services.Experiment with and recommend new technologies that simplify or improve our data science technology stack.,MA,Indeed,Remote
Data Scientist,"This program provides NO COST, comprehensive training to highly motivated individuals.Upon successful completion of the program, you will receive customized…",MA,Indeed,Temporarily Remote
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",IL,Indeed,Remote
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",IL,Indeed,Remote
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",IL,Indeed,Remote
Data Analyst ,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,NY,Indeed,Temporarily Remote
Data Analyst ,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,NY,Indeed,Temporarily Remote
Data Analyst,This will help our team gather enough data to teach computers to identify the same traits. Additional special projects may be assigned if time allows.,NC,Simplyhired,
Statistician,Perform basic data calculations and analysis. Create new automation solutions for business data needs. The position will assist data-driven initiatives whichâ€¦,OH,Simplyhired,
Data Analyst,"At least 1 year of research/data analysis experience. Conduct cluster analyses of internal data to segment customers and leads. SQL, R/Python, Microsoft Office.",,Simplyhired,Remote
Machine Learning,Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.,,Simplyhired,Remote
Machine Learning,Present information using data visualization techniques. Undertake preprocessing of structured and unstructured data. Combine models through ensemble modeling.,,Simplyhired,Remote
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Statistician,"If you are a tech savvy individual with a proven background in basketball stats, Performance Analytica wants you to be part of our team.",,Simplyhired,Remote
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Machine Learning,"Have demonstrable hands-on industry experience in data analytics or data science. Have expertise in using Python for data wrangling, exploratory data analysis,â€¦",,Simplyhired,Remote
Data Engineer,"Experience working with event data in a data lake. A self-service tool that allows data scientists, data engineers, and ML engineers on the Marketing Dataâ€¦",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Machine Learning,We are seeking an experienced data scientist with skills and qualifications in analyzing and modeling geospatial data.,,Simplyhired,Remote
Data Engineer,Interview Query is a rapidly growing data science startup based out of San Francisco. Our mission is to help any aspiring data scientists land a job.â€¦,,Simplyhired,Remote
Data Engineer,"This role requires combined expertise in software development, programming, data science and data engineering. A.I. Software engineering: 5 years (Preferred).",IN,Simplyhired,
Data Analyst,"Strong data visualization, data wrangling, and/or data mining skills using R. The Analytics Associate will use R to clean, mine, and assess large datasets inâ€¦",,Simplyhired,
Data Analyst,"Strong analytical skills with the ability to identify data trends. The Sales Forecast Analyst will review data provided by sales representatives, analyzing andâ€¦",GA,Simplyhired,
Data Analyst,The incumbent will support the Greenhouse Gas (GHG) initiatives within the agency by managing input data for emission estimation from multiple and disparateâ€¦,,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Engineer,"Support cloud migration of data science services Develop a deep understanding of business data sets Design efficient and standardized data structures, databaseâ€¦",MA,Simplyhired,
Machine Learning,"Experience with data manipulation within a large volume of data. Data science: 3 years (Required). Knowledge of statistics, analytics, and data mining.",MD,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,"Working with raw survey data to produce clean data sets for analysis and reporting. Do you bring a strong background in survey data principles, such as:",IL,Simplyhired,
Data Analyst,ï‚· Ability to input data and information into a data system. ï‚· Accurate data entry of participant information into the Well Family data system.,FL,Simplyhired,
Data Analyst,"Utilizing programming languages (python, C#, java, etc.) to scrape data from websites. Rapidly growing, nationally recognized private wealth management firm isâ€¦",NC,Simplyhired,
Machine Learning,"Performing quality control of curated data (data entered by third party); Masterâ€™s coursework in statistics, data science, machine learning, user experience andâ€¦",NC,Simplyhired,
Data Analyst,The Business Analystâ€™s role is focused on managing the offering setup process and assisting with the content delivery work that is necessary to release contentâ€¦,,Simplyhired,Remote
Machine Learning,Has solid data science industry experience. Preferably has teaching experience alongside data science. Is a data scientist with outstanding knowledge of andâ€¦,,Simplyhired,Remote
Statistician,"Our clients generate massive amounts of scientific data via varied high throughput technologies, and such projects require systematic analysis ofâ€¦",NC,Simplyhired,
Machine Learning,Proficient at creatively and efficiently developing data science solutions. Proficient with a wide variety of complex data science and engineering skills.,IN,Simplyhired,
Data Engineer,"Basic Understanding of data science concepts. 3+ Years of experience architecting and building Data Lake, Azure Big Data architecture, Enterprise Analyticsâ€¦",NY,Simplyhired,
Machine Learning,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a dataâ€¦",NY,Simplyhired,
Data Engineer,"The responsibilities will include management of regulatory protocols (IRB), acquisition of medical imaging and other data from medical records at Dukeâ€¦",NC,Simplyhired,
Machine Learning,We are hiring candidates after their PhD degree and after an MS/MA degree. Machine Learning: 1 year (Required). Temporarily due to COVID-19.,NC,Simplyhired,
Data Analyst,"Assist in training employees on data privacy and security topics. Create, maintain, and enforce internal data privacy and security policies.",NY,Simplyhired,
Machine Learning,Experience with data science tool kits. Identifies data patterns and trends. Participates and provides product guidance over data science and analyticsâ€¦,CA,Simplyhired,
Data Engineer,"Strong SQL and data analysis skills. 3+ years of experience in data/business/technical analysis, Strong SQL and data analysis skills, Excel wizard that dreamsâ€¦",,Simplyhired,Remote
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Statistician,Performs data conversions to review calculations and averages to ensure publishable data. Performs data collection and survey processing activities.,VA,Simplyhired,
Statistician,QAQC of reported water quality data. Interpretation and formal presentation or data; Creation of schemas for water quality data reporting;,MD,Simplyhired,
Data Analyst,5+ years data science analyst experience. Creating and editing/updating data scripts using R for use by TIU. Cyber Threat Intelligence Analysis and Reporting.,VA,Simplyhired,
Statistician,Specialized Experience: One and one-half (1 1/2) years for Level III and two and one-half (2-1/2) years for Level IV of professional work experience conductingâ€¦,HI,Simplyhired,
Machine Learning,"MyGuru, a boutique 1-1 tutoring and test prep provider, is seeking experienced a data science/machine learning tutor to join our team.",,Simplyhired,Remote
Machine Learning,Basic understanding of containerization and image management for data science notebooks. Interprets data and from multiple sources using a variety of analyticalâ€¦,IN,Simplyhired,
Data Analyst,"Experience in a data science, data analyst, business analytics, business intelligence or comparable role. Ability to communicate and provide meaningful businessâ€¦",,Simplyhired,Remote
Machine Learning,2+ years of experience using data analytics and statistics. Data science: 2 years (Required). Ensure overall quality of the data & solutions throughout theâ€¦,MI,Simplyhired,
Machine Learning,"8+ years of OR, statistical or data mining algorithm development experience, including 5+ years of AI/ML development experience for real-world applications.",GA,Simplyhired,
Data Engineer,Demonstrates solid data science knowledge. Designing and developing machine learning and deep learning systems. Running machine learning tests and experiments.,MD,Simplyhired,
Data Analyst,Disseminate data regarding data quality and system performance measures. Assists in monitoring and providing regular updates to the organizationâ€™s managementâ€¦,FL,Simplyhired,
Data Engineer,"Knowledge of data science concepts such as machine learning. Masterâ€™s degree in a physical science, engineering, data science or statistics from an accreditedâ€¦",,Simplyhired,Remote
Data Analyst,Identify gaps in our data collection and collaborate with Sales / Marketing / Finance on data capture specifications. Microsoft Powerpoint: 1 year (Preferred).,,Simplyhired,Remote
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,Administer and process regular data updates such as the monthly seasonal adjusted NYC employment data. Assist other OMB groups and taskforces with economic dataâ€¦,NY,Simplyhired,
