title,description,state,job_site
Statistician,Performs data conversions to review calculations and averages to ensure publishable data.Performs data collection and survey processing activities.,VA,Indeed
Data Scientist,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,KY,Indeed
Statistician,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…",AK,Indeed
Data Scientist,"Be a thought leader for data science methods for bioinformatics and genetics.Background in molecular biology, genomics, or similar, combined with experience…",IL,Indeed
Data Scientist,Assist in the design and implementation of enterprise-scale data models and pipelines for remote sensing data.5+ years relevant work experience required.,IL,Indeed
Data Scientist,Collaborate with engineering teams to design and implement software solutions for data science problems.Understand ambiguous business problems and convert them…,IL,Indeed
Data Analyst ,Compiling and conducting quality control on existing datasets covering a wide range of geological topics and data types.,WA,Indeed
Data Engineer,Support cloud migration of data science services.Experiment with and recommend new technologies that simplify or improve our data science technology stack.,MA,Indeed
Data Scientist,"This program provides NO COST, comprehensive training to highly motivated individuals.Upon successful completion of the program, you will receive customized…",MA,Indeed
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",IL,Indeed
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",IL,Indeed
Data Engineer,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.",IL,Indeed
Data Analyst ,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,NY,Indeed
Data Analyst ,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,NY,Indeed
Data Scientist,"Responsibilities: Provides vision, expertise and technology-based solutions in long range planning in the area of systems  architecture. Serves as resident expert to conducts studies, investigate the latest technology developments  and analyze impact of current and future system requirements. Recommends technology, drafts and presents  proposed corporate policies, drafts and presents proposed procedures, practices and standards. Ensures that  new initiatives conform to the firm's long term strat", PA,Dice
Data Engineer,"A full stack engineer with deep understanding of data science and software engineering practices.   Job Responsibilities: Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture.Design and implement Machine learning models and data ingestion pipelines.Develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models.E",,Dice
Data Scientist,"Hello,   Greetings from Ampcus Inc. Ampcus is a technology services consulting company. Ampcus Inc. is a Global leader in end-to-end IT Business Solutions and Services with latest technologies. We are listed among the top 50 fastest growing companies in USA. We work closely with our clients for Talent acquisition.  We are looking for an Principal-Pred/Pres Analytics. This is 6+ months Position. Your resume is a very good match for this opportunity, please review the job description below and ple", GA,Dice
Data Scientist,"Edit  Dynamic, Fast-growing, Entrepreneurial Data Science Solutions Company seeking seasoned Data Scientists! If you’ve got entrepreneurial spirit and passion, are driven by results, and want to be a part of significant growth, we’re looking for you!  BLEND360 is an award-winning, new breed Data Science Solutions Company focused on powering exceptional results to our Fortune 500 clients. We are a  growing company—born at the intersection of advanced analytics, data and technology. BLEND360 it is",,Dice
Data Scientist,"Flexion is currently seeking a Director of Data Scientist for a direct hire/full-time employee role with our client in Minneapolis, MN.  As the Director of Data Science, you will play a key role in unlocking our client's vision - transforming the measure of marketing success - through the development and advancement of measurement methodologies.  You will lead the development of additional analytics solutions, data science tools and application of predictive analytics to meet the needs of our cl", MN,Dice
Data Scientist,"Manager, Data Science & Analytics – Remote, US Nutrien Ag Solutions is the retail division of Nutrien™, the largest crop inputs company in the world. As part of our collective mission of Feeding the Future, Nutrien Ag Solutions provides full-acre solutions through our trusted crop consultants at more than 2, locations in North America, South America, Europe and Australia.  Working at Nutrien Ag Solutions will provide you an opportunity to help us Feed the Future, and grow your career.  What you ",,Dice
Data Scientist,"The E-Discovery Data Science Advisor uses advanced data science tools and techniques to enable the discovery of insights from client data and enable the analysis, review, and production of structured data throughout the e-discovery process. The E-Discovery Data Science Advisor will also use these techniques and tools to support the enhancement and automation of e discovery processes. Consult with case teams on effective data modeling, mining and other data analyses as related to e-discovery and ", NY,Dice
Data Scientist,"The Data Analytics Lead serves as the primary liaison between leadership and data scientists to leverage information adding value to the organization's workforce. This position works with all levels of HR staff as well as leadership across the organization in assessing needs for various business functions and assists management in identifying, analyzing and recommending data products that add business value.  Projects consist of small ad-hoc information requests to large cross functional data in", AZ,Dice
Data Engineer,"Hello Please check the below position and reply back with the below details and updated resume if you are comfortable.   Job Title: Full Stack Engineer - (Python, Data Science and ML) Location: No location constrain (across US need to work in PST hours) Duration: Long Term    Key Skills: Python, Machine Learning and Data Science. Job Details: Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-ser",,Dice
Data Scientist,"Apply by Email/Direct Application at  Role: Data Scientist (Lead) Location: Remote Interview Process: 3-4 Steps Must Haves: Minimum of 4 years of data science experience (ideally 5+ but will consider 4, NO LESS)Python or RPowerBI or TableauRETAIL EXPERIENCE will not consider anyone without it  JD: You will have an opportunity to directly influence our Consumer product roadmaps and work closely with business leaders across e.l.f. Beauty. You will be responsible for following to fuel our digital g",,Dice
Data Engineer,"No sponsorship available. No third-party/C2C candidates. This is a 100% REMOTE opportunity. Applicants must reside in the United States. Our client, a major player in the cutting-edge artificial intelligence industry, brings other companies’ AI strategies up to speed. Engineering creative custom solutions with innovative approaches, this company has delivered a clear competitive advantage to both startups and enterprise environments alike. This client has an immediate need for an experienced Sen",,Dice
Data Analyst,"IT Data Science Consultant SME                               ~ We do not offer C2C or sponsorships agreements ~  ~Group Benefits Options: Medical, Dental, Vision, 401K, Flexible Spending Account (FSA)~ This position is responsible for business consulting activities for the Analytics Competency Center within various business units as the primary interface and as a liaison to Information Technology: Serve as an expert in translating complex data into key strategy insights and valuable actions.Disc", NC,Dice
Data Scientist,"Job Details  Title: Senior Project Manager (AI/ML/Data Science/Digital Health)  Location: Irvine, CA  Duration: 12 Months    Job Description:  Develop, execute and manage multiple IT projects within their defined scope(s). Manage a multitude of interrelated project activities and lead all aspects of the project lifecycle, working with project sponsors/key stakeholders, team members, and management to oversee all phases of project completion. Build and manage project’s work breakdown structure, m", CA,Dice
Data Analyst,"HI, Greetings from SoftPath Technologies !! PFB the below requirements with my client if you are interested kindly share your resume to pmahaATsoftpathtech.com Role: SAP Data Science consultant  Exp: 10+yrs   Location: Cherry Hill, NJ Duration: Contract Primary Responsibilities  Use machine learning, deep learning and other data science techniques to create advanced analytics solutions to business problems  Wrangle large datasets, identify critical information, develop and test hypotheses and ma", NJ,Dice
Data Engineer,"CannonDesign has an exciting opportunity for a Data Science Intern to join our Technology in Practice team. Take a look at the description below. If you think your skills and experience make you a good match for this position, wed love to hear from you. Were looking for creative, curious, empathetic people to join our Living-Centered Design movement. ABOUT OUR FIRM  CannonDesign is an integrated design solutions firm focused on helping people continuously flourish. Whether designing for innovati", CA,Dice
Data Engineer,"CannonDesign has an exciting opportunity for a Data Science Intern to join our Technology in Practice team. Take a look at the description below. If you think your skills and experience make you a good match for this position, wed love to hear from you. Were looking for creative, curious, empathetic people to join our Living-Centered Design movement. ABOUT OUR FIRM  CannonDesign is an integrated design solutions firm focused on helping people continuously flourish. Whether designing for innovati", IL,Dice
Data Engineer,"CannonDesign has an exciting opportunity for a Data Science Intern to join our Technology in Practice team. Take a look at the description below. If you think your skills and experience make you a good match for this position, wed love to hear from you. Were looking for creative, curious, empathetic people to join our Living-Centered Design movement. ABOUT OUR FIRM  CannonDesign is an integrated design solutions firm focused on helping people continuously flourish. Whether designing for innovati", MO,Dice
 Data Analyst,"Role: Data Science  Location: Newark, NJ ( Contract to hire Position ) Skills: 7+ experience working with data management, analytics and big data technology Financial Services experience (Mutual Fund background preferred) Experience with data visualization tools (Tableau, Power BI) Experience with Hadoop stack and storage technologies such as HDFS, MapReduce, Yarn, HIVE, Sqoop, Impala, Spark, Flume, Kafka and/or Oozie Experience with Big Data Analytics & Business Intelligence and Industry standa", NJ,Dice
Data Engineer ,Horn Solutions has partnered with a client in search of a talented Data Science Engineer to join their team for a new data project where they will be standing up their Data Science environment from scratch. This client is located in Las Colinas and the position will be partially on site. The Position:  We are looking for an experienced data engineer to join our team. You will use various methods to transform raw data into useful data systems. The ideal candidate should have strong analytical ski, TX,Dice
Data Scientist,"Are you looking to make an impact by helping agencies meet their mission goals through successful implementation and operation of their regulatory, mission or compliance programs? Are you ready to help our clients mitigate risks that arise from transformational core business operational change or ongoing operations? Are you interested in helping clients transform how they operate their business to be more effective? If so, Deloitte's Regulatory Compliance team could be the place for you! Our tea", VA,Dice
Data Engineer,"At SS&C Intralinks we pride ourselves on giving each intern a real-world experience and opportunity to hone their skills, build their portfolio, network with professionals and build relationships, in addition to preparing them for a full-time position after graduation. Motivated interns play an important role in making this a reality, but we're here to help! About the Team:  We see ourselves as a ""start-up"" within a big product company. We cater to all the flagship products, applications and bus", MA,Dice
Data Engineer,"Peraton Overview Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local", VA,Dice
Data Scientist,"The Data Science Manager is responsible for leveraging structured and unstructured data sets in order to gain critical insight. on how to drive networks, systems, and products forward.  This individual should be an expert data scientist while also being able to lead small teams; responsible for creating machine learning models that help to better understand network capacity, system performance, or licensing consumption across out platforms. The DATA Science Manager could be located in any one of",,Dice
Data Analyst,"Description SAIC is seeking a Data Science Application Administrator to joing our team to provide support for the division in Huntsville, AL. This job is temporarily remote / virtual / work from home due to COVID-19. Will possibly return to the office in Huntsville, AL once the threat of COVID-19 is eliminated. Job Description: Administers COTS data visualization application. Conducts analysis and collaborates with subject matter experts in the planning, design, development, and execution of ele", AL,Dice
Data Scientist,"May 14, 2021  Manager, Data Science, Analytics Job Description  Job Title: Manager, Data Science, Analytics Location: Reston, VA About this Role: This position draws on expertise in analysis, big data, and operations to manage and improve the processes that produce Comscore's cross-platform, digital, and television audience data. Clients around the globe rely on this information to shape business strategies and fuel advertisement buying and selling. This dedicated leader motivates staff and coll", VA,Dice
Data Scientist,"REMOTE candidates welcome to APPLY!  This Jobot Job is hosted by: Christina Finster Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $275, per year  A bit about us:  Confidential Search  Why join us?  Bay Area Health-Tech Start-up  Series A - with big backings  Job Details  Key attributes: *Leadership **Managed and delivered data science projects and teams for saas/data platform companies Deep domain expertise in ML practices, processes, infras", CA,Dice
Data Scientist,"When you join New York Life, you're joining a company that values development, career growth, collaboration, innovation, and diversity & inclusion. We want employees to feel proud about being part of a company that is committed to doing the right thing. Through various resources and programs, you can grow your career while developing personally and professionally. The Center for Data Science and Artificial Intelligence (CDSAi) is the 50-person innovative corporate Analytics group within New York", NY,Dice
Data Scientist,"Hi, Position Title: Technical Project Manager(Data Science) Location: Orange County, CA Duration: 12 Months Solid understanding of Agile, Scrum and Kanban development methodologies.Experience with Agile project/product management tools like Jira and Confluence.Good understanding of machine learning, data analytics, rule-based systems, and data architecture.Experience building solutions based on data, hypotheses, and MVPs by defining and aligning on clear requirements, working with a cross-discip", CA,Dice
Data Analyst,"Description SHIFT: Day Job  SCHEDULE: Full-time  Your Talent. Our Vision. At Anthem, Inc., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care. This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health care companies and a Fortu", IL,Dice
Data Scientist,"Job Requirements At Baker Hughes, we are building a Talent Community of highly talented and motivated professionals for future job roles. If you match the described job role and are as excited as we are to have you on-board in future, please hit the apply button to be a part of our Talent Community. As a member of our talent community, you will be amongst the first to get exclusive news about Baker Hughes, various cool projects we are working on, our employee success stories and new job opportun",,Dice
Data Engineer ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data Visualization Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data visualization and analysis. We are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges.", TX,Dice
Data Engineer ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data Visualization Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data visualization and analysis. We are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges.", TX,Dice
Data Engineer ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data Visualization Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data visualization and analysis. We are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges.", AL,Dice
Data Engineer ,"Position: Data Engineer Location: NY OR Charlotte, NC (Remote till Covid)  Duration: 9 to 12 months contract   Must have extensive hands on experience in designing, developing, and maintaining software solutions in Big Data and Data Science PlatformsExperience building E2E Data Science using Streaming and Big Data platformHands on experience on implementing  CI/CD using the Atlassian ecosystemExtensive hands on experience in designing, developing, and maintaining software frameworks using Kafka,", NC,Dice
Data Analyst,"Discover. A brighter future. With us, you'll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it - we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine. Come build your future, while being the reason millions of people find a brighter financial future ", IL,Dice
Data Scientist,"Job Decsription is as below The Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Data Scientist work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action. The Data Scientist develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, m", KY,Dice
Data Analyst,"Company DescriptionCompany Description  Together we make. Come make with us.  Overview  At Cricut®, we believe that we’re all born makers. When we built our first cutting machine, we saw the potential for a simple yet powerful tool to completely transform the way people craft, design, and DIY. Since then, we continue to innovate with new machines, platforms, materials, and tools, but that’s just what we do. Who we are is a bustling worldwide community, a means for connection, and an outlet for u", UT,Dice
Machine Learning,"This is a full-time position with my client in Atlanta, GA   Sr Full Stack Developer, Decision Science Full Term Position Atlanta, GA   OVERVIEW & KEY RESPONSIBILITIES The Sr. Full Stack Developer will be responsible for bringing bleeding-edge machine learning and optimization models into production together with a highly multi-disciplinary team of data scientists, software development engineers, strategic partners, product managers and subject domain experts.  This role will take models develop", GA,Dice
Data Engineer ,"The company is a system security supplier and global leader in intelligent immigration and civil aviation security solutions and services, assisting governments with smarter solutions to uncover unlawful transnational activities at international border crossings (e.g., human traffickers, drug traffickers, financial criminals) They're looking for a ML/AI specialist who will partake in the creation of a new patentable technology with a focus on data using Python, SQL, Tensorflow, Spark/Hadoop, and", DC,Dice
Machine Learning,"This AI start-up in San Mateo is looking for a Director of Data Science. The company has a very ambitious vision to make a more intelligent search that combines NLP, recommendations, and predictive algorithms to improve lives. This search will be able to make better predictions based on user's goals and preferences to ensure that the most relevant results. With incredible VC backing, this company will make a huge splash in multiple different applications and industries. In this role, you'll be s", CA,Dice
Data Engineer ,"** and those authorized to work in the U.S. can be considered as W2 candidates.** Lead Principle AI Engineer Location: Irving, TX (onsite once campus will reopen )Duration: 1 year and (R2H) Principle AI Engineer designs and develops scalable solutions using AI Tools and machine learning models. Performs research and testing to develop machine learning algorithms and predictive models. Being a Principle AI Engineer utilizes big data computation and storage tolls to create prototypes and datasets.", TX,Dice
Data Scientist,"Responsibilities: Provides vision, expertise and technology-based solutions in long range planning in the area of systems  architecture. Serves as resident expert to conducts studies, investigate the latest technology developments  and analyze impact of current and future system requirements. Recommends technology, drafts and presents  proposed corporate policies, drafts and presents proposed procedures, practices and standards. Ensures that  new initiatives conform to the firm's long term strat", NY,Dice
Machine Learning,Will Accept Remote and Non Local Candidates. Must Have Mathematical ModellingPython Programming   Position:Python Developer Team: Item Cloud (progressive team that researches and develops new technogolgies)  Profile: SOLID Python experience and stellar mathematical modeling abilities Process: Remote Video x2 - Verification - Start  The Python Developer is responsible for the design and development of application software within the College Board's Information Technology group. Selected candidate, VA,Dice
Data Engineer ,"Data Science Professionals TS/SCI FSP  VA, Chantilly 20151 Security Clearance: U.S. Citizen, Current Security Clearance, TS/SCI, Full Scope Polygraph Skills: Scripting, Data Parsing, ETL, Artificial Intelligence, Machine Learning, DevOps, SecDevOps, Python, SQL, Java  We are recruiting for multiple Data Scientist and Data Science Training positions supporting Intelligence Collections. Qualified candidates will have experience in one or more of the following: scripting, data parsing, ETL, artific", VA,Dice
Machine Learning,"Title: Technical Writer - Machine Learning, Data Science Location: Boston, MA Type: Contract To Perm Job #: KR302581614 Note: This job is not open to C2C or 3rd party candidates. IGNW is an engineering-based resourcing company headquartered in Portland, OR with GEO based teams in Seattle, WA / Austin & Dallas, TX / Southeast US / California. We have global partnerships to deliver the industry's top technical solutions and talent to every one of our clients. Some of our strategic partnerships inc", MA,Dice
Machine Learning,"AVP, Data Science - Reinforcement Learning (RL) expert Are you interested in working in a dynamic environment that offers opportunities for professional growth and new responsibilities? If so, Deloitte & Touche LLP could be the place for you. At Deloitte, we are creating a world-class Artificial Intelligence and Machine Learning (AI/ML) Center of Excellence to enhance Deloitte's existing services and empower our clients to gain exponential value from their data. Our focus is on bringing data, an", AZ,Dice
Machine Learning,"AVP, Data Science - AI Graph Expert Are you interested in working in a dynamic environment that offers opportunities for professional growth and new responsibilities? If so, Deloitte & Touche LLP could be the place for you. At Deloitte, we are creating a world-class Artificial Intelligence and Machine Learning (AI/ML) Center of Excellence to enhance Deloitte's existing services and empower our clients to gain exponential value from their data. Our focus is on bringing data, analytics, and techno", AZ,Dice
Data Analyst,"A company located right in the heart of the Orange County area is looking to bring on a mid-range data scientist engineers. They are currently working on several projects but by far the most critical one up to plate is building out a dynamic pricing revenue model to deploy across the country, with the accompanying data engineering pipelines and AWS lakes. They are looking for someone with a background building out statistical models and working within the data to create solutions for the busines", CA,Dice
Data Scientist,"We are looking for candidates that are able to manage Data without supervision, with high attention to details, with a LOGICAL approach and DATA modeling management experience.   Scorecard development would be a PLUS.   Languages: SQL, Python, R and SAS.     Job Information Job Title: Sr. Associate, Risk Modeling/Data Science Job Code:   Job Family: Risk Job Function: Risk Management Job Family Description: Monitors activities to minimize the company's exposure to risk. Activities may include qu", TX,Dice
