title,jobtype,location,description
Data Scientist,Flexible Schedule Job, PA,"
            Seeking candidate with Master's degree and seven years' relevant industry experience in <b>data</b> <b>science</b> at a tech company to be responsible for all aspects of the <b>data</b> <b>science</b> program, from the computer systems utilized to the recruiting of talent.
        "
Data Scientist,100% Remote Job,AL,"
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        "
Data Scientist,100% Remote Job, CA,"
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        "
Data Scientist,100% Remote Job, CO,"
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        "
Data Scientist,100% Remote Job, GA,"
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        "
Data Scientist,100% Remote Job, NY,"
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        "
Data Scientist,100% Remote Job, NC,"
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        "
Data Scientist,100% Remote Job, MD,"
            Director of <b>Data</b> <b>Science</b> is needed for a remote opportunity. The candidate will design, develop, train, and validate machine learning models using Spark ML, Python, and HDFS. Master's degree and prior relevant experience required.
        "
Data Scientist,Option for Remote Job, CA,"
            Full-time job, remote option. Needs a bachelor's degree and five years' work related experience. Manage and mentor Scientists on the team, work with other departments, analyze big <b>data</b> and build machine learning model to improve product, analyze big <b>data</b>.
        "
Data Scientist,Remote - During Pandemic Job, IL,"
            Full-time position. Will identify <b>data</b> sources, provide support, automate <b>data</b> and contribute to knowledge sharing. Master's degree and 1+ years' related management experience required. Remote during pandemic.
        "
Data Scientist,Remote - During Pandemic Job, DC,"
            Full-time position. Will identify <b>data</b> sources, provide support, automate <b>data</b> and contribute to knowledge sharing. Master's degree and 1+ years' related management experience required. Remote during pandemic.
        "
Data Scientist,100% Remote Job, TX,"
            Solve complex technical challenges while delivering improvements to flight <b>data</b> analysis, visualization, &amp; exploration. Must have a bachelor's degree and 8 years of general engineering experience, including 3 years of engineering management. WFH.
        "
Data Scientist,100% Remote Job, CA,"
            Remote position will operate as a tech lead with junior engineers, design/implement machine algorithms, develop software applications to identify hidden patterns, and design/build/maintain a <b>data</b> platform. Need exp. with Python, PySpark, and algorithms.
        "
Data Scientist,100% Remote Job, TX,"
            Provide support to multidisciplinary teams using various <b>data</b> tools and implementing models and creating algorithms. Other duties include using predictive modeling, ad targeting and revenue generation. 10+ years of experience needed. Work remotely.
        "
Data Scientist,Partial Remote Job,NY,"
            Full-time, partially remote position. Will contribute to projects, assist with development,  deliver lectures, grow <b>data</b> and provide industry-specific expertise. Master's degree and related experience required. Travel.
        "
Data Scientist,Partial Remote Job, FL,"
            Full-time, partially remote position. Will contribute to projects, assist with development,  deliver lectures, grow <b>data</b> and provide industry-specific expertise. Master's degree and related experience required. Travel.
        "
Data Scientist,Partial Remote Job, NC,"
            Full-time, partially remote position. Will contribute to projects, assist with development,  deliver lectures, grow <b>data</b> and provide industry-specific expertise. Master's degree and related experience required. Travel.
        "
Data Scientist,Partial Remote Job, SC,"
            Full-time, partially remote position. Will contribute to projects, assist with development,  deliver lectures, grow <b>data</b> and provide industry-specific expertise. Master's degree and related experience required. Travel.
        "
Data Scientist,Partial Remote Job, TX,"
            Full-time, partially remote position. Will contribute to projects, assist with development,  deliver lectures, grow <b>data</b> and provide industry-specific expertise. Master's degree and related experience required. Travel.
        "
