,title,jobtype,description,location,salary,job site
0,Data Scientist,Remote,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.","Delano, CA•Remote",,Indeed
1,Data Scientist,Remote,,Remote•Remote,,Indeed
2,Data Scientist,Remote,"Experience supporting data scientists across their many specialities, from analytics to machine learning.Support Calm’s Data Science team with clear objectives…",Remote•Remote,,Indeed
3,Data Engineer,,Define and execute the data engineering roadmap (e.g. establish an operational data lake and a real-time reporting environment for the operations).,"Atlanta, GA",,Indeed
4,Data Scientist,Remote,"Understands how to break down the data, extract insights, and determine utility within larger data analytic products.","Seattle, WA•Remote",,Indeed
5,Data Scientist,Remote,"Utilizes Data for reporting and influencing hiring decisions, while maintaining data integrity.Partner with Coordinators and Recruiters to manage an efficient…",Remote+8 locations•Remote,,Indeed
6,Data Analyst ,Remote,"Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external…",Remote+1 location•Remote,,Indeed
7,Data Analyst ,,Contribute to data models and designs for the data warehouse.Our Data Strategy and Operations team is focused on implementing and evolving client's investment…,"Los Angeles, CA",,Indeed
8,Data Scientist,Remote,"Demonstrated professional experience in Tableau, including server administration, server functions, data source creation and maintenance, reporting and…","Cleveland, OH 44143•Remote",,Indeed
9,Data Scientist,,,"South Jordan, UT 84095",,Indeed
10,Data Analyst ,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.","Santa Barbara, CA",,Indeed
11,Data Scientist,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,"Burlingame, CA 94010",,Indeed
12,Data Scientist,,"Proactive communication : Serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…","San Francisco, CA (North Waterfront area)",,Indeed
13,Data Science professor,,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…","San Francisco, CA 94105+7 locations (South Beach area)","$68,250.00 ",Indeed
14,Data Science professor,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…","Williamsburg, VA 23187",,Indeed
15,Data Engineer,,"Experience with data modeling, data warehousing, and building ETL pipelines.Demonstrated strength in data modeling, ETL development, and data warehousing.","New York, NY",,Indeed
16,Data Analyst ,Remote,Locates and acquires data from existing data locations as needed to support analytics and reporting.Education focused in data and analytics.,"Waterloo, IA 50704•Remote",,Indeed
17,Data Science professor,,"Teach undergraduate and graduate courses in statistics, analytics, and data science.Teaching responsibilities may include one or more courses including but not…","Marietta, GA 30060",,Indeed
18,Data Science professor,,Position Title Adjunct Lecturer in Data Science.The Data Science Program at the College of William and Mary is recruiting a pool of applicants for possible…,"Williamsburg, VA 23187",,Indeed
19,Data Analyst ,,Deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.Business level fluency in English.,"Cambridge, MA",,Indeed
20,Data Scientist,,Work closely with data scientists and analysts to design and develop data mining and machine.Distributed data systems such as Hadoop and Spark.,"Champaign, IL",,Indeed
21,Machine learning Engineer,,"Demonstrated expertise in machine learning research.Publication record in relevant conferences (e.g. NeurIPS, ICML, ICLR, AAAI, CVPR, ICCV, ECCV, ACL, EMNLP,…","Santa Clara Valley, CA 95014",,Indeed
22,Data Analyst ,Remote,Use your understanding of the intelligence analysis process as a defense SME to translate complex data science approaches to solutions into meaningful…,Remote•Remote,,Indeed
23,Data Science professor,Remote,Emphasis is on the role of data in developing business strategy.Course explores the use of insights obtained from data to develop solutions to competitive…,"Superior, WI•Remote",,Indeed
24,Data Analyst ,,"DUTIES: Discover, analyze and deliver data that applies to various business scenarios and opportunities; develop metrics and present them through quality…","Sunnyvale, CA 94086 (Washington area)",,Indeed
25,Data Scientist,Remote,Experience in data science relevant to the position description.Research experience in geospatial data science or a similar field is a requirement to start…,"Minneapolis, MN•Remote",,Indeed
26,Data Scientist,Remote,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.Experience with Machine Learning, Statistics, or other data analysis tools and…",Remote+6 locations•Remote,,Indeed
27,Data Scientist,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104 (Financial District area)•Remote",,Indeed
28,Data Scientist,Remote,Experience working with sensitive or personally identifiable data and handling associated governance issues.Analytical or Research experience from any relevant…,Remote•Remote,,Indeed
29,Data Scientist,,,"Seattle, WA",,Indeed
30,Machine learning Engineer,,"Ericsson Research is looking for highly motivated and hardworking Artificial Intelligence Researchers, bringing AI & Machine Learning to mobile networks.","Santa Clara, CA 95054",,Indeed
31,Data Scientist,Remote,Drive data engineering priorities that enable analytical and modeling success.F2 builds & supports all things payments and financial services experiences at…,Remote+3 locations•Remote,,Indeed
32,Data Science professor,,Candidates should in addition be prepared to take full advantage of the rich array of resources at the UW for research and teaching in data science as well as…,"Seattle, WA 98195 (University District area)",,Indeed
33,Machine learning Engineer,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.","Santa Barbara, CA",,Indeed
34,Data Scientist,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,"Burlingame, CA 94010",,Indeed
