title,description,salary,company,city,state,job site
Statistician,Perform basic data calculations and analysis. Create new automation solutions for business data needs. The position will assist data-driven initiatives whichâ€¦,"$30,000","Cavaliers Holdings, LLC",Cleveland,OH,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$150,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,026",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$30,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$30,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$31,200",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$31,200",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Engineer,"Experience working with event data in a data lake. A self-service tool that allows data scientists, data engineers, and ML engineers on the Marketing Dataâ€¦","$35,100",Braintrust,San Francisco,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$35,622",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$39,684",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.","$39,768",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$40,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$45,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$45,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$45,592",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$46,742",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$46,856",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$48,641",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","$50,000",Institute of Neuro Innovation,Santa Monica,CA,Simplyhired
