company,description,location,title,salary,job site
Venga Global,This will help our team gather enough data to teach computers to identify the same traits. Additional special projects may be assigned if time allows.,North Carolina,Data Analyst,"$35,000 ",Simplyhired
"Cavaliers Holdings, LLC",Perform basic data calculations and analysis. Create new automation solutions for business data needs. The position will assist data-driven initiatives whichâ€¦,"Cleveland, OH",Statistician,"$30,000 ",Simplyhired
Kaplan,"At least 1 year of research/data analysis experience. Conduct cluster analyses of internal data to segment customers and leads. SQL, R/Python, Microsoft Office.",Remote,Data Analyst,"$30,000 ",Simplyhired
Nestria,Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.,Remote,Machine Learning,"$35,000 ",Simplyhired
Nestria,Present information using data visualization techniques. Undertake preprocessing of structured and unstructured data. Combine models through ensemble modeling.,Remote,Machine Learning,"$35,000 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$150,000 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$35,000 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$35,000 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$35,000 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$9,026 ",Simplyhired
Performance Analytica LLC,"If you are a tech savvy individual with a proven background in basketball stats, Performance Analytica wants you to be part of our team.",Remote,Statistician,"$24,375 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$30,000 ",Simplyhired
Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",Data Analyst,"$30,000 ",Simplyhired
